"Easting","Northing","Load","Elevation","Weight","Prediction","Set","Residual","Dataset"
624478.3225,9099792.562,1.4e-06,314.5,1,0.115791,"Train",0.1157896,"Dataset_2"
644260.7247,9107510.933,1.4e-06,314.5,1,0.251132,"Train",0.2511306,"Dataset_2"
646012.7376,9111209.589,1.4e-06,314.5,1,0.870518,"Train",0.8705166,"Dataset_2"
647523.2046,9117008.734,1.4,314.5,1,8.5604,"Train",7.1604,"Dataset_2"
677235.2876,9116779.052,1.4e-06,314.5,1,0.0656914,"Train",0.06569,"Dataset_2"
662614.6427,9130791.934,1.4,314.5,1,2.29883,"Train",0.89883,"Dataset_2"
657522.2071,9169987.86,6,314.5,1,0.62552,"Train",-5.37448,"Dataset_2"
634367.0106,9167585.163,4.2,314.5,1,1.19252,"Train",-3.00748,"Dataset_2"
627007.6947,9161053.62,10.5,314.5,1,2.21277,"Train",-8.28723,"Dataset_2"
633514.9978,9174510.948,4.9,314.5,1,0.748873,"Train",-4.151127,"Dataset_2"
619406.2488,9108201.132,4.2,314.5,1,1.50176,"Train",-2.69824,"Dataset_2"
620533.6656,9111531.751,11.2,314.5,1,3.79909,"Train",-7.40091,"Dataset_2"
621286.3375,9114122.73,11.2,314.5,1,7.45122,"Train",-3.74878,"Dataset_2"
613044.9075,9114446.954,11.2,314.5,1,6.68402,"Train",-4.51598,"Dataset_2"
623311.5859,9118989.198,28,314.5,1,21.7107,"Train",-6.2893,"Dataset_2"
619298.3712,9105602.988,1.4,314.5,1,0.706318,"Train",-0.693682,"Dataset_2"
619300.9966,9106590.637,1.4,314.5,1,0.941941,"Train",-0.458059,"Dataset_2"
619298.3712,9105602.988,1.4,314.5,1,0.706318,"Train",-0.693682,"Dataset_2"
616598.9099,9131203.191,35,314.5,1,29.8519,"Train",-5.1481,"Dataset_2"
610338.7816,9139186.343,42,314.5,1,15.6616,"Train",-26.3384,"Dataset_2"
629798.3207,9138024.302,28,314.5,1,24.0467,"Train",-3.9533,"Dataset_2"
630532.5213,9122797.613,49,314.5,1,55.2341,"Train",6.2341,"Dataset_2"
631589.4355,9122856.338,56,314.5,1,59.7261,"Train",3.7261,"Dataset_2"
634325.4446,9123157.158,63,314.5,1,73.6398,"Train",10.6398,"Dataset_2"
635568.5055,9123091.738,70,314.5,1,78.9155,"Train",8.91549999999999,"Dataset_2"
638982.8543,9121568.514,70,314.5,1,75.2291,"Train",5.2291,"Dataset_2"
646602.6425,9127959.942,140,314.5,1,60.1269,"Train",-79.8731,"Dataset_2"
647444.6314,9128791.07,112,314.5,1,48.8051,"Train",-63.1949,"Dataset_2"
649546.8542,9125202.042,49,314.5,1,35.2009,"Train",-13.7991,"Dataset_2"
649963.3306,9128999.119,28,314.5,1,30.3602,"Train",2.3602,"Dataset_2"
649323.0961,9132892.59,14,314.5,1,24.9623,"Train",10.9623,"Dataset_2"
638403.7704,9140957.084,2.1,314.5,1,16.7854,"Train",14.6854,"Dataset_2"
639182.8576,9141541.673,1.4,314.5,1,15.4918,"Train",14.0918,"Dataset_2"
638023.806,9149206.377,21,314.5,1,6.44802,"Train",-14.55198,"Dataset_2"
617501.5074,9150188.734,10.5,314.5,1,6.15972,"Train",-4.34028,"Dataset_2"
624103,9111696.128,7,314.5,0,3.96866,"Test",-3.03134,"Dataset_1"
629936,9122930.73,56,314.5,0,53.6665,"Test",-2.3335,"Dataset_1"
629549,9142131.799,28,314.5,0,15.1165,"Test",-12.8835,"Dataset_1"
606002,9134454.513,35,314.5,0,18.3099,"Test",-16.6901,"Dataset_1"
623903,9139886.513,28,314.5,0,18.528,"Test",-9.472,"Dataset_1"
626002,9116568.401,14,314.5,0,15.0671,"Test",1.0671,"Dataset_1"
648254,9143394.028,14,314.5,0,9.55278,"Test",-4.44722,"Dataset_1"
635545,9123596.347,70,314.5,0,82.0726,"Test",12.0726,"Dataset_1"
604054,9159569.497,1.4,314.5,0,2.63752,"Test",1.23752,"Dataset_1"
634336,9120657.35,42,314.5,0,53.0129,"Test",11.0129,"Dataset_1"
637194,9125075.016,112,314.5,0,95.2703,"Test",-16.7297,"Dataset_1"
606831,9143436.125,21,314.5,0,10.3632,"Test",-10.6368,"Dataset_1"
620935,9118808.97,14,314.5,0,18.9353,"Test",4.9353,"Dataset_1"
644675,9139335.273,7,314.5,0,17.5604,"Test",10.5604,"Dataset_1"
617445,9135784.492,28,314.5,0,23.8956,"Test",-4.1044,"Dataset_1"
625423,9127624.25,42,314.5,0,47.4386,"Test",5.4386,"Dataset_1"
